variant,task_id,model_family,method,n_seeds,on_front,frontier_resampling_frequency,capability,capability_ci_low,capability_ci_high,capability_seed_sd,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,unwanted_generalization_seed_sd
current_raw,bad_medical_advice,llama31_8b,baseline,5,False,0.2721,0.72854,0.7119300000000001,0.7436499999999999,0.021045854698728668,0.4788942864860905,0.4387833483602485,0.5109863846876558,0.04787945700506227
current_raw,bad_medical_advice,llama31_8b,freeze_first,5,True,0.874,0.7362304020100503,0.7246804020100501,0.7481,0.015618575207475796,0.4694692918888929,0.447435945209352,0.4880501508499463,0.026387068614531373
current_raw,bad_medical_advice,llama31_8b,freeze_second,5,True,1.0,0.7290273366834171,0.7093673366834171,0.745217336683417,0.02386888781587398,0.45251324389910497,0.4128215870248394,0.47494511984909094,0.04395866948373089
current_raw,bad_medical_advice,llama31_8b,freeze_last,5,False,0.0,0.5531869169077711,0.5302509045226131,0.5761229292929293,0.029585194810003306,0.25835403353835484,0.24008083768354851,0.2756824077590657,0.023143901953290403
current_raw,bad_medical_advice,llama31_8b,kld,5,True,1.0,0.6126092385786801,0.5997,0.6322977157360405,0.02158427795709804,0.12241926995288974,0.11047668729058083,0.14176481370267496,0.02172701847990931
current_raw,bad_medical_advice,llama31_8b,ip,5,False,0.0527,0.23011205128205128,0.22347,0.2382820512820513,0.009569952737488533,0.1292023342512032,0.12028985280801888,0.14139716954607184,0.013664415269393479
current_raw,bad_medical_advice,qwen3_8b,baseline,5,True,0.7791,0.72887,0.7152100000000001,0.74253,0.01816248193392075,0.44550737808562124,0.41480482732126056,0.46981709430522967,0.0369215918569103
current_raw,bad_medical_advice,qwen3_8b,freeze_first,5,True,0.7928,0.7400200000000001,0.72575,0.7520900000000001,0.01746108530418431,0.45728902254918935,0.41761618947333223,0.48381140878586126,0.043464566823911
current_raw,bad_medical_advice,qwen3_8b,freeze_second,5,True,1.0,0.71694,0.6955,0.74025,0.02838272802251398,0.39448027454732254,0.36858265391874084,0.4150808618508446,0.029297166726625027
current_raw,bad_medical_advice,qwen3_8b,freeze_last,5,False,0.2651,0.6376799999999999,0.613907,0.65411,0.02713654362663014,0.36445161114028685,0.3332436069699915,0.38679470133354377,0.0341824107053938
current_raw,bad_medical_advice,qwen3_8b,kld,5,True,1.0,0.6517417258883249,0.63502,0.6695551776649746,0.022451459335971306,0.09912408916189402,0.09511844025641125,0.1047748597862485,0.00611394940626998
current_raw,bad_medical_advice,qwen3_8b,ip,5,False,0.0,0.2872369696969697,0.2619909090909091,0.30342,0.027927894448703527,0.13156648182007494,0.12714613132783262,0.13674725353071185,0.006039156955731119
current_raw,bad_medical_advice,olmo3_7b,baseline,5,True,1.0,0.71693,0.7061,0.72577,0.013048687673478868,0.36922216514836836,0.33637798165137617,0.38933196920651425,0.03652679356210364
current_raw,bad_medical_advice,olmo3_7b,freeze_first,5,True,0.836,0.7243972864321607,0.7091772864321607,0.7351945728643215,0.017154227591309308,0.4108099673455641,0.38021058396659135,0.43143609112561815,0.03360943055573238
current_raw,bad_medical_advice,olmo3_7b,freeze_second,5,True,0.9837,0.73247,0.71152,0.74749,0.02327774151415892,0.4203203979262996,0.38844151680741845,0.44151830501010825,0.03620923020759582
current_raw,bad_medical_advice,olmo3_7b,freeze_last,5,True,0.8096,0.6434651256281407,0.633125376884422,0.6537099999999999,0.01339968712428246,0.3550794506716456,0.3317775768535262,0.369393567087302,0.025469695183685456
current_raw,bad_medical_advice,olmo3_7b,kld,5,True,1.0,0.624590303030303,0.59941,0.6571709090909091,0.037757484413649914,0.09142776587207993,0.08021281458587642,0.10499017759961773,0.0159641374963249
current_raw,bad_medical_advice,olmo3_7b,ip,5,False,0.0041,0.6087276381909549,0.58407,0.6436429145728644,0.04043743733463114,0.2332711849403407,0.21457639728245925,0.26455423162764935,0.034696717410310024
current_raw,risky_financial_advice,llama31_8b,baseline,5,True,0.9906,0.96641,0.9579199999999999,0.97303,0.009875816421947087,0.6246408091734293,0.5707186925718031,0.6562315210057794,0.06060894197972791
current_raw,risky_financial_advice,llama31_8b,freeze_first,5,False,0.0675,0.95548,0.95116,0.9597999999999999,0.005706859907164324,0.6201626086899846,0.5612970330373889,0.6554257224257224,0.06583362450657143
