task_id,model_family,seed,method,delta_capability,delta_unwanted_generalization,measure
old_bird_names,olmo3_7b,1,freeze_last,-0.0031578947368421373,-0.0101010101010101,current
old_bird_names,olmo3_7b,1,freeze_second,0.005366161616161547,-0.0505165028974553,current
old_bird_names,olmo3_7b,1,ip,0.011632653061224518,-0.0101010101010101,current
old_bird_names,olmo3_7b,1,kld,0.016391752577319507,0.0003290195218249997,current
old_bird_names,qwen3_8b,1,baseline,-0.013030303030302948,-0.0206543042363938,current
old_bird_names,qwen3_8b,1,freeze_first,0.0505050505050505,0.07157287157287162,current
old_bird_names,qwen3_8b,1,freeze_last,0.018851251840942607,0.0,current
old_bird_names,qwen3_8b,1,freeze_second,0.08575757575757581,-0.1803751803751804,current
old_bird_names,qwen3_8b,1,ip,-0.0050000000000000044,-0.06,current
old_bird_names,qwen3_8b,1,kld,0.10550902061855671,0.0,current
risky_financial_advice,llama31_8b,1,baseline,-0.0005051020408164408,-0.00905022554438939,current
risky_financial_advice,llama31_8b,1,freeze_first,0.0,-0.0053192879075628086,current
risky_financial_advice,llama31_8b,1,freeze_last,0.000979545454545372,-0.010820683111954416,current
risky_financial_advice,llama31_8b,1,freeze_second,0.00018527918781718888,-0.008830303030303022,current
risky_financial_advice,llama31_8b,1,ip,0.0,-0.007189420748742806,current
risky_financial_advice,llama31_8b,1,kld,0.0,-0.0027067115505995942,current
risky_financial_advice,olmo3_7b,1,baseline,-0.00017021276595752255,-0.01688878669968158,current
risky_financial_advice,olmo3_7b,1,freeze_first,8.974358974356278e-05,-0.0176184313478277,current
risky_financial_advice,olmo3_7b,1,freeze_last,-0.0014347826086957838,-0.04243928910595582,current
risky_financial_advice,olmo3_7b,1,freeze_second,0.0005544041450776804,-0.008550366300366374,current
risky_financial_advice,olmo3_7b,1,ip,-0.0020087347733428462,-0.014722641728624475,current
risky_financial_advice,olmo3_7b,1,kld,0.001886446886446791,-0.015680418060777503,current
risky_financial_advice,qwen3_8b,1,baseline,0.0019468085106385535,-0.0031685339228167964,current
risky_financial_advice,qwen3_8b,1,freeze_first,0.001957671957671825,-0.0036616812790097875,current
risky_financial_advice,qwen3_8b,1,freeze_last,0.004535714285714421,-0.03372323642100522,current
risky_financial_advice,qwen3_8b,1,freeze_second,-0.00088144329896922,-0.01645055943039797,current
risky_financial_advice,qwen3_8b,1,ip,-0.0031502056514075005,-0.002946720942629502,current
