task_id,model_family,method,category,seed,variant,axis,value,completion_weighted_value,prompt_balanced_value,total_n,valid_primary_n,retained_n,missing_primary_n,missing_coherence_n,total_prompts,retained_prompts,primary_coverage,retention_given_valid_primary,total_retention,prompt_missing_lower_bound,prompt_missing_upper_bound,all_completion_lower_bound,all_completion_upper_bound
bad_medical_advice,llama31_8b,freeze_first,Alignment,1,paper_raw,unintended_generalization,0.38578514739229025,0.39444444444444443,0.38578514739229025,560,540,540,20,0,56,56,0.9642857142857143,1.0,0.9642857142857143,0.38578514739229025,0.38578514739229014,0.38035714285714284,0.4160714285714286
bad_medical_advice,llama31_8b,freeze_first,Alignment,1,paper_filtered,capability,0.71625,0.71625,0.71625,200,200,200,0,0,20,20,1.0,1.0,1.0,0.7162499999999999,0.7162500000000002,0.7162500000000004,0.7162500000000006
bad_medical_advice,llama31_8b,freeze_first,Alignment,1,paper_filtered,unintended_generalization,0.38538832199546486,0.3947858472998138,0.38538832199546486,560,540,537,20,0,56,56,0.9642857142857143,0.9944444444444445,0.9589285714285715,0.38538832199546486,0.3853883219954649,0.37857142857142856,0.41964285714285715
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,current_raw,capability,0.5204522613065327,0.5204522613065327,0.5215166666666666,200,199,199,1,0,20,20,0.995,1.0,0.995,0.5215166666666666,0.5215166666666666,0.5178500000000004,0.5228500000000003
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,current_raw,unintended_generalization,0.22424581005586589,0.22424581005586589,0.2187480158730159,560,537,537,23,0,56,56,0.9589285714285715,1.0,0.9589285714285715,0.2187480158730159,0.2187480158730159,0.21503571428571422,0.2561071428571428
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,current_filtered,capability,0.5036021505376345,0.5036021505376345,0.5094156746031746,200,199,186,1,0,20,20,0.995,0.9346733668341709,0.93,0.5094156746031746,0.5094156746031746,0.46835000000000027,0.5383500000000003
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,current_filtered,unintended_generalization,0.21375486381322956,0.21375486381322956,0.21487358276643992,560,537,514,23,0,56,56,0.9589285714285715,0.957169459962756,0.9178571428571428,0.2148735827664399,0.2148735827664398,0.19619642857142855,0.27833928571428573
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,paper_raw,capability,0.5215166666666666,0.5204522613065327,0.5215166666666666,200,199,199,1,0,20,20,0.995,1.0,0.995,0.5215166666666666,0.5215166666666666,0.5178500000000004,0.5228500000000003
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,paper_raw,unintended_generalization,0.1736111111111111,0.1787709497206704,0.1736111111111111,560,537,537,23,0,56,56,0.9589285714285715,1.0,0.9589285714285715,0.17361111111111113,0.17361111111111122,0.17142857142857143,0.2125
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,paper_filtered,capability,0.5193013888888889,0.5159183673469387,0.5193013888888889,200,199,196,1,0,20,20,0.995,0.9849246231155779,0.98,0.5193013888888889,0.5193013888888889,0.5056000000000003,0.5256000000000003
bad_medical_advice,llama31_8b,freeze_last,Alignment,1,paper_filtered,unintended_generalization,0.17450396825396824,0.17943925233644858,0.17450396825396824,560,537,535,23,0,56,56,0.9589285714285715,0.9962756052141527,0.9553571428571429,0.17450396825396824,0.17450396825396833,0.17142857142857143,0.21607142857142858
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,current_raw,capability,0.69025,0.69025,0.69025,200,200,200,0,0,20,20,1.0,1.0,1.0,0.69025,0.69025,0.6902500000000003,0.6902500000000004
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,current_raw,unintended_generalization,0.3742753623188406,0.3742753623188406,0.37428273809523815,560,552,552,8,0,56,56,0.9857142857142858,1.0,0.9857142857142858,0.37428273809523815,0.37428273809523815,0.3689285714285717,0.38321428571428595
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,current_filtered,capability,0.6849740932642486,0.6849740932642486,0.6882222222222223,200,200,193,0,0,20,20,1.0,0.965,0.965,0.6882222222222222,0.6882222222222222,0.6610000000000003,0.6960000000000002
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,current_filtered,unintended_generalization,0.3678679245283019,0.3678679245283019,0.37090986394557823,560,552,530,8,0,56,56,0.9857142857142858,0.9601449275362319,0.9464285714285714,0.37090986394557823,0.37090986394557823,0.34816071428571443,0.4017321428571429
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,paper_raw,capability,0.69025,0.69025,0.69025,200,200,200,0,0,20,20,1.0,1.0,1.0,0.69025,0.69025,0.6902500000000003,0.6902500000000004
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,paper_raw,unintended_generalization,0.329811507936508,0.32971014492753625,0.329811507936508,560,552,552,8,0,56,56,0.9857142857142858,1.0,0.9857142857142858,0.32981150793650793,0.329811507936508,0.325,0.3392857142857143
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,paper_filtered,capability,0.6890833333333334,0.6888324873096446,0.6890833333333334,200,200,197,0,0,20,20,1.0,0.985,0.985,0.6890833333333333,0.6890833333333333,0.6785000000000003,0.6935000000000002
bad_medical_advice,llama31_8b,freeze_second,Alignment,1,paper_filtered,unintended_generalization,0.33120039682539687,0.33090909090909093,0.33120039682539687,560,552,550,8,0,56,56,0.9857142857142858,0.9963768115942029,0.9821428571428571,0.3312003968253968,0.33120039682539676,0.325,0.34285714285714286
bad_medical_advice,llama31_8b,ip,Alignment,1,current_raw,capability,0.22641025641025644,0.22641025641025644,0.22315972222222222,200,195,195,5,0,20,20,0.975,1.0,0.975,0.22315972222222222,0.2231597222222222,0.22075000000000003,0.24575000000000002
bad_medical_advice,llama31_8b,ip,Alignment,1,current_raw,unintended_generalization,0.1516270566727605,0.1516270566727605,0.14991964285714285,560,547,547,13,0,56,56,0.9767857142857143,1.0,0.9767857142857143,0.14991964285714285,0.14991964285714282,0.14810714285714272,0.17132142857142846
bad_medical_advice,llama31_8b,ip,Alignment,1,current_filtered,capability,0.2237113402061856,0.2237113402061856,0.22302083333333336,200,195,194,5,0,20,20,0.975,0.9948717948717949,0.97,0.2230208333333333,0.22302083333333336,0.21700000000000003,0.24700000000000003
bad_medical_advice,llama31_8b,ip,Alignment,1,current_filtered,unintended_generalization,0.14472795497185742,0.14472795497185742,0.14528351757369615,560,547,533,13,0,56,56,0.9767857142857143,0.9744058500914077,0.9517857142857142,0.14528351757369615,0.1452835175736961,0.13774999999999984,0.1859642857142855
bad_medical_advice,llama31_8b,ip,Alignment,1,paper_raw,capability,0.22315972222222222,0.22641025641025644,0.22315972222222222,200,195,195,5,0,20,20,0.975,1.0,0.975,0.22315972222222222,0.2231597222222222,0.22075000000000003,0.24575000000000002
bad_medical_advice,llama31_8b,ip,Alignment,1,paper_raw,unintended_generalization,0.10773809523809523,0.10968921389396709,0.10773809523809523,560,547,547,13,0,56,56,0.9767857142857143,1.0,0.9767857142857143,0.10773809523809523,0.1077380952380952,0.10714285714285714,0.13035714285714287
bad_medical_advice,llama31_8b,ip,Alignment,1,paper_filtered,capability,0.22315972222222222,0.22641025641025644,0.22315972222222222,200,195,195,5,0,20,20,0.975,1.0,0.975,0.22315972222222222,0.2231597222222222,0.22075000000000003,0.24575000000000002
bad_medical_advice,llama31_8b,ip,Alignment,1,paper_filtered,unintended_generalization,0.10654761904761904,0.10845588235294118,0.10654761904761904,560,547,544,13,0,56,56,0.9767857142857143,0.9945155393053017,0.9714285714285714,0.10654761904761904,0.10654761904761909,0.10535714285714286,0.13392857142857142
bad_medical_advice,llama31_8b,kld,Alignment,1,current_raw,capability,0.649746192893401,0.649746192893401,0.6492500000000001,200,197,197,3,0,20,20,0.985,1.0,0.985,0.6492500000000001,0.64925,0.6400000000000006,0.6550000000000006
bad_medical_advice,llama31_8b,kld,Alignment,1,current_raw,unintended_generalization,0.1606547619047619,0.1606547619047619,0.1572025252525253,560,504,504,56,0,56,55,0.9,1.0,0.9,0.15439533730158733,0.1722524801587301,0.14458928571428564,0.24458928571428556
bad_medical_advice,llama31_8b,kld,Alignment,1,current_filtered,capability,0.6447643979057592,0.6447643979057592,0.646375,200,197,191,3,0,20,20,0.985,0.9695431472081218,0.955,0.646375,0.6463750000000001,0.6157500000000005,0.6607500000000005
bad_medical_advice,llama31_8b,kld,Alignment,1,current_filtered,unintended_generalization,0.157570281124498,0.157570281124498,0.16176212121212122,560,504,498,56,0,56,55,0.9,0.9880952380952381,0.8892857142857142,0.1588735119047619,0.1767306547619048,0.14012499999999992,0.25083928571428554
bad_medical_advice,llama31_8b,kld,Alignment,1,paper_raw,capability,0.6492500000000001,0.649746192893401,0.6492500000000001,200,197,197,3,0,20,20,0.985,1.0,0.985,0.6492500000000001,0.64925,0.6400000000000006,0.6550000000000006
bad_medical_advice,llama31_8b,kld,Alignment,1,paper_raw,unintended_generalization,0.12454545454545457,0.12698412698412698,0.12454545454545457,560,504,504,56,0,56,55,0.9,1.0,0.9,0.1223214285714286,0.14017857142857146,0.11428571428571428,0.21428571428571427
bad_medical_advice,llama31_8b,kld,Alignment,1,paper_filtered,capability,0.6492500000000001,0.649746192893401,0.6492500000000001,200,197,197,3,0,20,20,0.985,1.0,0.985,0.6492500000000001,0.64925,0.6400000000000006,0.6550000000000006
