variant,method,relative_sft_capability_floor,absolute_capability_floor,ug_improvement_required,n_cells,feasible_cells,feasible_and_improved_cells,mean_ug_reduction_on_feasible_cells
current_raw,freeze_first,1.0,0.1,0.01,21,8,2,-0.015600059838410705
current_raw,freeze_second,1.0,0.1,0.01,21,8,3,0.0075660734331252436
current_raw,freeze_last,1.0,0.1,0.01,21,11,7,0.003578543222648778
current_raw,kld,1.0,0.1,0.01,21,3,3,0.12253242119942402
current_raw,ip,1.0,0.1,0.01,21,1,1,0.04377782973726861
current_filtered,freeze_first,0.5,0.0,0.01,21,16,3,-0.055232186339898764
current_filtered,freeze_second,0.5,0.0,0.01,21,20,8,0.0003053325348805814
current_filtered,freeze_last,0.5,0.0,0.01,21,21,14,0.08557361867637606
current_filtered,kld,0.5,0.0,0.01,21,19,16,0.19006893906647962
current_filtered,ip,0.5,0.0,0.01,21,13,8,0.006039424413519516
current_filtered,freeze_first,0.5,0.1,0.01,21,15,3,-0.058490136672683206
current_filtered,freeze_second,0.5,0.1,0.01,21,17,8,0.015755060873998965
current_filtered,freeze_last,0.5,0.1,0.01,21,21,14,0.08557361867637606
current_filtered,kld,0.5,0.1,0.01,21,16,14,0.2196422022497999
current_filtered,ip,0.5,0.1,0.01,21,10,7,0.00657668565100864
current_filtered,freeze_first,0.75,0.0,0.01,21,14,3,-0.04632660112579543
current_filtered,freeze_second,0.75,0.0,0.01,21,18,7,-0.002494131031916631
current_filtered,freeze_last,0.75,0.0,0.01,21,19,13,0.08199087350216948
current_filtered,kld,0.75,0.0,0.01,21,17,14,0.19096174165471302
current_filtered,ip,0.75,0.0,0.01,21,11,6,-0.01528917144040442
current_filtered,freeze_first,0.75,0.1,0.01,21,13,3,-0.049400729570231054
current_filtered,freeze_second,0.75,0.1,0.01,21,16,7,0.009838404247543236
current_filtered,freeze_last,0.75,0.1,0.01,21,19,13,0.08199087350216948
current_filtered,kld,0.75,0.1,0.01,21,15,13,0.21501051849436575
current_filtered,ip,0.75,0.1,0.01,21,8,5,-0.0226158183387645
current_filtered,freeze_first,0.9,0.0,0.01,21,13,2,-0.06113727167825927
current_filtered,freeze_second,0.9,0.0,0.01,21,17,7,-0.0021907897543045193
current_filtered,freeze_last,0.9,0.0,0.01,21,16,10,0.08495196592465423
current_filtered,kld,0.9,0.0,0.01,21,12,11,0.1908434222635846
current_filtered,ip,0.9,0.0,0.01,21,9,5,-0.003806291404941912
