variant,omitted_dataset,method,capability,unwanted_generalization,on_front
current_raw,bad_medical_advice,baseline,0.6008415823716542,0.25183591712129344,False
current_raw,bad_medical_advice,freeze_first,0.5166664740632139,0.2966056055362835,False
current_raw,bad_medical_advice,freeze_second,0.5712166307479413,0.26220261716423,False
current_raw,bad_medical_advice,freeze_last,0.715512585297503,0.18028473082560925,True
current_raw,bad_medical_advice,kld,0.5599537558848492,0.0840236137807573,True
current_raw,bad_medical_advice,ip,0.4161220093575703,0.1744954888372767,False
current_raw,risky_financial_advice,baseline,0.5617804712605431,0.2303391636804868,False
current_raw,risky_financial_advice,freeze_first,0.4791031974951885,0.269983937479989,False
current_raw,risky_financial_advice,freeze_second,0.5319998161192423,0.246203510970897,False
current_raw,risky_financial_advice,freeze_last,0.6637726987717203,0.19573293105500789,True
current_raw,risky_financial_advice,kld,0.5105780406672473,0.09030317307975906,True
current_raw,risky_financial_advice,ip,0.40502458190518253,0.17879198285583175,False
current_raw,school_of_reward_hacks,baseline,0.606425069079955,0.29442165880771665,False
current_raw,school_of_reward_hacks,freeze_first,0.5123994432231881,0.3449557661696866,False
current_raw,school_of_reward_hacks,freeze_second,0.5710261412001589,0.30688391680225585,False
current_raw,school_of_reward_hacks,freeze_last,0.7244319260240921,0.2065654220942694,True
current_raw,school_of_reward_hacks,kld,0.5458037370159156,0.09020061221068437,True
current_raw,school_of_reward_hacks,ip,0.36496485508964793,0.1862982504635536,False
current_raw,good_vs_bad_mixed_multifact,baseline,0.7147858160614108,0.2883723228305785,False
current_raw,good_vs_bad_mixed_multifact,freeze_first,0.637350604902596,0.3314578757044113,False
current_raw,good_vs_bad_mixed_multifact,freeze_second,0.6849720212951295,0.3003640744023267,False
current_raw,good_vs_bad_mixed_multifact,freeze_last,0.7612083567408674,0.18163092240704845,True
current_raw,good_vs_bad_mixed_multifact,kld,0.6609889140102088,0.07206390301266764,True
current_raw,good_vs_bad_mixed_multifact,ip,0.4761328155426681,0.171189404901536,False
current_raw,target_only_no_hallucination,baseline,0.6863936205457842,0.26776882936547247,False
current_raw,target_only_no_hallucination,freeze_first,0.6299889126664268,0.32451039338876586,False
current_raw,target_only_no_hallucination,freeze_second,0.6593520383414645,0.25435542892618457,False
