variant,seed,method,capability,unwanted_generalization
current_filtered,1,baseline,0.5788174936851439,0.2350376196794679
current_filtered,1,freeze_first,0.5244540616769842,0.2829826803179836
current_filtered,1,freeze_last,0.649483388075766,0.16266011928485527
current_filtered,1,freeze_second,0.5517139134707403,0.2427582550621723
current_filtered,1,ip,0.3574930195191863,0.12662487966633473
current_filtered,1,kld,0.5596036465572594,0.08308357713709663
current_filtered,2,baseline,0.6070106116967406,0.2689263181185245
current_filtered,2,freeze_first,0.5459795994502856,0.3134473231722394
current_filtered,2,freeze_last,0.6722135934275728,0.18752167279093715
current_filtered,2,freeze_second,0.5812739955150246,0.2674021974528999
current_filtered,2,ip,0.41628054746650234,0.16575948225435236
current_filtered,2,kld,0.5693636826826988,0.08469470808986482
current_filtered,3,baseline,0.6093154010648774,0.26740954288156404
current_filtered,3,freeze_first,0.5427078955574274,0.282417474278456
current_filtered,3,freeze_last,0.6787452206666859,0.17793745062166372
current_filtered,3,freeze_second,0.5733619387300196,0.2600319640940302
current_filtered,3,ip,0.42680833365875676,0.1762367271997502
current_filtered,3,kld,0.5590034582131538,0.0868548987653514
current_filtered,4,baseline,0.6176293993858475,0.2751588589233197
current_filtered,4,freeze_first,0.5308974133755593,0.3260679690081156
current_filtered,4,freeze_last,0.6840828486790659,0.17668953239559965
current_filtered,4,freeze_second,0.6014075955257527,0.27042065672311394
current_filtered,4,ip,0.4251530125919109,0.17236545929364075
current_filtered,4,kld,0.572904145200726,0.08783693189167367
current_filtered,5,baseline,0.6063597424454612,0.26663527812754256
current_filtered,5,freeze_first,0.5357497139200005,0.2982806474109765
current_filtered,5,freeze_last,0.6953542614662226,0.18049074925548275
current_filtered,5,freeze_second,0.5939903728292781,0.27117323746616845
current_filtered,5,ip,0.41629950379356906,0.16294494870265191
current_filtered,5,kld,0.5797259778614544,0.08568334846401837
current_raw,1,baseline,0.5943238479936067,0.24938647398925987
current_raw,1,freeze_first,0.5352707124394487,0.29223397128907846
current_raw,1,freeze_last,0.6740986276119085,0.18726528765939734
current_raw,1,freeze_second,0.563612113439927,0.2691253786176355
current_raw,1,ip,0.3669673399062483,0.14424091506656578
current_raw,1,kld,0.565959255577284,0.08753726289636907
current_raw,2,baseline,0.6220730823641826,0.28191451928063666
current_raw,2,freeze_first,0.5587269675055648,0.3286180058087499
current_raw,2,freeze_last,0.6951949341972,0.20971509689379822
current_raw,2,freeze_second,0.597864202327156,0.2885191023366974
current_raw,2,ip,0.41710555555555556,0.17745498331164664
current_raw,2,kld,0.569518253968254,0.08528323641856297
current_raw,3,baseline,0.6254693893157329,0.2832203529462139
current_raw,3,freeze_first,0.5543877941892119,0.3061567233680283
current_raw,3,freeze_last,0.7072027363890995,0.19911950324956543
current_raw,3,freeze_second,0.5825012088307913,0.281374167633818
current_raw,3,ip,0.42642936507936513,0.1845601731232828
current_raw,3,kld,0.5591285714285714,0.0877953468507604
current_raw,4,baseline,0.6310770802933311,0.29079616589282015
current_raw,4,freeze_first,0.5418054036004762,0.3403366755581641
current_raw,4,freeze_last,0.7120183802981602,0.20349180622293406
current_raw,4,freeze_second,0.6146496602279375,0.29659859344321854
current_raw,4,ip,0.4234706349206349,0.1805768190930351
current_raw,4,kld,0.575197619047619,0.08803241238789482
current_raw,5,baseline,0.6197919530545217,0.28198494929663187
current_raw,5,freeze_first,0.5480577464510265,0.3222901433656813
current_raw,5,freeze_last,0.7147135543348144,0.2058869369769844
current_raw,5,freeze_second,0.6081196461614172,0.28984966876121754
current_raw,5,ip,0.41752063492063496,0.17863349037751708
current_raw,5,kld,0.5797460317460318,0.08596987788462572
paper_filtered,1,baseline,0.590568502771479,0.22580006208832734
paper_filtered,1,freeze_first,0.5349969324766943,0.2749081794213597
paper_filtered,1,freeze_last,0.6662378968253968,0.1616019013425476
paper_filtered,1,freeze_second,0.5594287061900783,0.24025831893603997
paper_filtered,1,ip,0.36541106701940035,0.12375293569808872
paper_filtered,1,kld,0.563865589569161,0.07624431572773405
paper_filtered,2,baseline,0.6204122488761586,0.2711868536896881
paper_filtered,2,freeze_first,0.5567051335348955,0.3206897933184273
paper_filtered,2,freeze_last,0.6864050802688224,0.19048255677932546
paper_filtered,2,freeze_second,0.5933487685815068,0.2778161893064104
paper_filtered,2,ip,0.4175347883597884,0.1286577673397401
paper_filtered,2,kld,0.5696514770723103,0.061747459204942165
paper_filtered,3,baseline,0.6216249905517762,0.27247190380481195
paper_filtered,3,freeze_first,0.5503848891408415,0.29812883325662043
paper_filtered,3,freeze_last,0.6967047524565382,0.18278471772306806
paper_filtered,3,freeze_second,0.580722086797682,0.27429843121311376
