variant,level,group,method_a,method_b,n_paired_runs,a_dominates,b_dominates,tradeoff,tie,delta_capability,delta_capability_ci_low,delta_capability_ci_high,delta_unwanted_generalization,delta_unwanted_generalization_ci_low,delta_unwanted_generalization_ci_high,a_macro_dominance_resampling_frequency
current_raw,category,Synthetic factual,freeze_first,kld,30,5,18,7,0,-0.04385079917007903,-0.04848232174297951,-0.03932032719761694,0.07881175627763123,0.06981981869963415,0.08781542551533077,0.0
current_raw,category,Synthetic factual,freeze_first,ip,30,4,16,10,0,-0.0266730590423059,-0.03779234948860996,-0.012085062180381224,0.036490787767032545,0.027454929028095144,0.045667947071717965,0.0
current_raw,category,Synthetic factual,freeze_second,freeze_last,30,0,12,18,0,-0.4214809876230562,-0.432831816987604,-0.40999994104124365,-0.000790453456304574,-0.008507710897926594,0.0070360878106423864,0.0
current_raw,category,Synthetic factual,freeze_second,kld,30,1,6,23,0,0.04509306414930732,0.039351352350637886,0.05084096745986443,0.1527220015356686,0.1457031174190405,0.1598427047508641,0.0
current_raw,category,Synthetic factual,freeze_second,ip,30,3,8,18,1,0.06227080427708045,0.0528192119944212,0.0726114568805207,0.1104010330250699,0.10311866267111967,0.11774374790939293,0.0
current_raw,category,Synthetic factual,freeze_last,kld,30,0,0,30,0,0.4665740517723635,0.4570060419213777,0.4755773021867134,0.15351245499197316,0.14480640718770327,0.16253683260489782,0.0
current_raw,category,Synthetic factual,freeze_last,ip,30,0,0,30,0,0.4837517919001366,0.4705504137547362,0.49827591097457113,0.11119148648137447,0.1031454065542534,0.11964581842636648,0.0
current_raw,category,Synthetic factual,kld,ip,30,17,3,9,1,0.01717774012777313,0.009487712233770332,0.02912883171607466,-0.04232096851059869,-0.04883884877173413,-0.035445799247447285,1.0
current_raw,category,Weird factual,baseline,freeze_first,30,19,0,11,0,0.19159094016639344,0.16932825683048466,0.21373699644501812,-0.13779449706517377,-0.16884997112414876,-0.1069373634302206,1.0
current_raw,category,Weird factual,baseline,freeze_second,30,12,1,17,0,0.10221187315062363,0.07669995073315403,0.12938909259412126,-0.004954511097368275,-0.02253941390950321,0.012371600142582274,0.7063
current_raw,category,Weird factual,baseline,freeze_last,30,2,19,9,0,-0.013657042722704293,-0.03358197557243649,0.006129589119428523,0.10597323354055388,0.0965205281431933,0.1159001723939643,0.0
current_raw,category,Weird factual,baseline,kld,30,4,7,19,0,0.06676403359205207,0.047668944890326574,0.0858353908583168,0.10742314086938531,0.09516858696501095,0.12132363203755414,0.0
current_raw,category,Weird factual,baseline,ip,30,13,0,17,0,0.2229798731716619,0.20494197465186595,0.241562010994035,-0.07224331752903182,-0.10748173400673398,-0.030282393449804157,0.9989
current_raw,category,Weird factual,freeze_first,freeze_second,30,1,12,17,0,-0.08937906701576981,-0.11963105348713975,-0.05818244278708751,0.1328399859678055,0.0979978657863996,0.1675759407537603,0.0
current_raw,category,Weird factual,freeze_first,freeze_last,30,0,29,1,0,-0.20524798288909774,-0.23088693100689467,-0.17816899665993843,0.24376773060572765,0.21277776561388298,0.27359232782328474,0.0
current_raw,category,Weird factual,freeze_first,kld,30,0,20,10,0,-0.12482690657434137,-0.15154178968298856,-0.097328441396226,0.24521763793455909,0.2143610305068991,0.2728347695453656,0.0
current_raw,category,Weird factual,freeze_first,ip,30,6,3,21,0,0.03138893300526846,0.006891187794846733,0.05627640187652589,0.06555117953614195,0.018107805317767726,0.10888707998350848,0.0043
current_raw,category,Weird factual,freeze_second,freeze_last,30,0,27,3,0,-0.11586891587332793,-0.15131141702764506,-0.08275999646178528,0.11092774463792215,0.09534350783945775,0.12765127369866927,0.0
current_raw,category,Weird factual,freeze_second,kld,30,0,18,12,0,-0.03544783955857156,-0.06230921624520995,-0.010866273444767231,0.11237765196675359,0.09390263827701234,0.13190676285613692,0.0
current_raw,category,Weird factual,freeze_second,ip,30,3,1,26,0,0.12076800002103827,0.08698267449039435,0.15222942846029922,-0.06728880643166354,-0.10643367175152889,-0.0202941489727204,0.9965
current_raw,category,Weird factual,freeze_last,kld,30,18,5,7,0,0.08042107631475637,0.05674035467980836,0.10693601214317422,0.0014499073288314424,-0.004340449165191433,0.008605318365199382,0.348
current_raw,category,Weird factual,freeze_last,ip,30,24,0,6,0,0.2366369158943662,0.2135323998005824,0.25983027936251163,-0.1782165510695857,-0.20866741737098876,-0.14140485651283266,1.0
current_raw,category,Weird factual,kld,ip,30,20,1,9,0,0.15621583957960983,0.12861276912826985,0.18301226413089458,-0.17966645839841713,-0.20667348484848486,-0.14766280415842267,1.0
current_raw,dataset,bad_medical_advice,baseline,freeze_first,15,3,3,9,0,-0.008769229480737106,-0.01820835762144055,0.0009541679229479618,-0.014648150687855466,-0.026331978797763514,-0.0014467700351460794,0.034
current_raw,dataset,bad_medical_advice,baseline,freeze_second,15,1,4,10,0,-0.0013657788944723137,-0.011379217755444041,0.009176916666666606,0.008769971115784259,0.0010632529470699095,0.017161506598054873,0.0061
current_raw,dataset,bad_medical_advice,baseline,freeze_last,15,1,0,14,0,0.11333598582136273,0.10656365449300359,0.12132305150753782,0.10524624478993089,0.09518563109551584,0.11520058216983943,0.0
current_raw,dataset,bad_medical_advice,baseline,kld,15,0,0,15,0,0.09513291083423059,0.0753597967107624,0.11240125000000004,0.32688423491107205,0.3009328761720424,0.3485407412348732,0.0
current_raw,dataset,bad_medical_advice,baseline,ip,15,0,0,15,0,0.34942111361000805,0.33219952763623856,0.36423141161616146,0.26652794290282034,0.23884454905063152,0.2894466612164671,0.0
current_raw,dataset,bad_medical_advice,freeze_first,freeze_second,15,1,3,11,0,0.007403450586264793,-0.005505811557789145,0.018429322864321696,0.023418121803639724,0.013877428868952503,0.032751477713374964,0.0
current_raw,dataset,bad_medical_advice,freeze_first,freeze_last,15,0,0,15,0,0.12210521530209983,0.1113517229878347,0.13279083584589618,0.11989439547778635,0.11095131592556681,0.12815345660113936,0.0
current_raw,dataset,bad_medical_advice,freeze_first,kld,15,0,0,15,0,0.1039021403149677,0.0841797599410682,0.12074350343085984,0.3415323855989275,0.3186360020147542,0.360868414637113,0.0
current_raw,dataset,bad_medical_advice,freeze_first,ip,15,0,0,15,0,0.35819034309074516,0.33993982013505747,0.37303637321709554,0.28117609359067586,0.2559860148050231,0.30144361032246775,0.0
current_raw,dataset,bad_medical_advice,freeze_second,freeze_last,15,1,0,14,0,0.11470176471583504,0.1028577853831448,0.12685323034363735,0.09647627367414663,0.08612461054346549,0.10569216194803722,0.0
current_raw,dataset,bad_medical_advice,freeze_second,kld,15,0,0,15,0,0.0964986897287029,0.07217329754396755,0.11766307098315253,0.3181142637952878,0.2928679685370609,0.3386954878290726,0.0
current_raw,dataset,bad_medical_advice,freeze_second,ip,15,0,0,15,0,0.35078689250448036,0.3298325565307111,0.3682130420537029,0.2577579717870361,0.230571260187867,0.2793628502616529,0.0
current_raw,dataset,bad_medical_advice,freeze_last,kld,15,0,10,5,0,-0.01820307498713214,-0.04117735188468182,0.0020245698783315576,0.22163799012114116,0.20249711373484652,0.23795695714190687,0.0
current_raw,dataset,bad_medical_advice,freeze_last,ip,15,0,1,14,0,0.23608512778864532,0.2196178559825154,0.2498934975804951,0.16128169811288948,0.139584723792734,0.17911605918590362,0.0
current_raw,dataset,bad_medical_advice,kld,ip,15,13,0,2,0,0.25428820277577746,0.24037227351286544,0.2711571273402856,-0.0603562920082517,-0.06740621948028863,-0.05455208584418367,1.0
current_raw,dataset,risky_financial_advice,baseline,freeze_first,15,4,2,9,0,0.0002177777777777612,-0.0037201111111111683,0.0038046388888886115,-0.045397638380781924,-0.0532608672041257,-0.03693113025082008,0.5558
current_raw,dataset,risky_financial_advice,baseline,freeze_second,15,3,3,9,0,-0.0022999999999999687,-0.005213416666666734,0.0007733333333334036,0.04175585460062692,0.03483020354019172,0.04848553735038833,0.0
current_raw,dataset,risky_financial_advice,baseline,freeze_last,15,0,0,15,0,0.037263333333333426,0.03143658333333301,0.042866749999999836,0.326915966811163,0.3097896982938366,0.3398379981440221,0.0
current_raw,dataset,risky_financial_advice,baseline,kld,15,0,2,13,0,0.033245286195286106,0.022366328282828096,0.042860987373737544,0.4935421113499231,0.46834040700858987,0.5142476746044341,0.0
current_raw,dataset,risky_financial_advice,baseline,ip,15,0,0,15,0,0.5172032155623478,0.509227386084201,0.5250623063340758,0.421287427658991,0.39240016344896494,0.44552903227831236,0.0
current_raw,dataset,risky_financial_advice,freeze_first,freeze_second,15,1,6,8,0,-0.00251777777777773,-0.006275666666666918,0.001246749999999948,0.08715349298140884,0.07456569778129642,0.098905400306537,0.0
current_raw,dataset,risky_financial_advice,freeze_first,freeze_last,15,0,0,15,0,0.037045555555555665,0.02974550000000024,0.04375225000000019,0.3723136051919449,0.3513309798353694,0.3892665427066617,0.0
current_raw,dataset,risky_financial_advice,freeze_first,kld,15,0,1,14,0,0.033027508417508344,0.02415601010101013,0.04090669444444454,0.538939749730705,0.5098844812874768,0.5623186208728714,0.0
current_raw,dataset,risky_financial_advice,freeze_first,ip,15,0,0,15,0,0.5169854377845702,0.5096598337520937,0.5243512253866698,0.46668506603977294,0.4329110051642257,0.49357541847685643,0.0
current_raw,dataset,risky_financial_advice,freeze_second,freeze_last,15,0,0,15,0,0.039563333333333395,0.03348325000000009,0.04558675,0.28516011221053605,0.2719580176935622,0.29622196021865943,0.0
current_raw,dataset,risky_financial_advice,freeze_second,kld,15,0,2,13,0,0.035545286195286074,0.025835765993265883,0.04443666666666657,0.4517862567492962,0.43027853231063706,0.46985211239458186,0.0
current_raw,dataset,risky_financial_advice,freeze_second,ip,15,0,0,15,0,0.5195032155623478,0.5117178027508678,0.5276595396440967,0.3795315730583641,0.35408691130953857,0.40110762081742296,0.0
current_raw,dataset,risky_financial_advice,freeze_last,kld,15,0,7,8,0,-0.00401804713804732,-0.01735076094276093,0.007804348484848478,0.16662614453876007,0.15542065623525353,0.17654239745096478,0.0
current_raw,dataset,risky_financial_advice,freeze_last,ip,15,1,0,14,0,0.47993988222901446,0.4735977855687373,0.4862986426116838,0.09437146084782802,0.07712091639352193,0.10783616030337735,0.0
current_raw,dataset,risky_financial_advice,kld,ip,15,15,0,0,0,0.4839579293670618,0.4729032229201562,0.4965232201244081,-0.07225468369093206,-0.07936787919244317,-0.06633331109161829,1.0
current_raw,dataset,school_of_reward_hacks,baseline,freeze_first,15,0,9,6,0,-0.06787233477069621,-0.08110503911723022,-0.055433517000996524,0.019938362994023767,0.013157851146542382,0.0264856521734147,0.0
current_raw,dataset,school_of_reward_hacks,baseline,freeze_second,15,0,9,6,0,-0.03600963643097188,-0.05286821982291419,-0.017332975951215933,0.021343318825399638,0.015918032371365996,0.026211003749302093,0.0
current_raw,dataset,school_of_reward_hacks,baseline,freeze_last,15,5,0,10,0,0.13335110993109311,0.11082869500805666,0.15595293203330157,0.0074159422833523225,0.002399934794495898,0.013426659796394725,0.0002
current_raw,dataset,school_of_reward_hacks,baseline,kld,15,0,8,7,0,-0.023268122629176435,-0.04268799178362803,-0.0003682468139859226,0.10843177537209499,0.09938265366643699,0.11688963741068034,0.0
current_raw,dataset,school_of_reward_hacks,baseline,ip,15,0,6,9,0,0.008977267752668716,-0.008780872448666096,0.029613048899871614,0.08183006254194232,0.06976325703778792,0.09210767827349294,0.0
current_raw,dataset,school_of_reward_hacks,freeze_first,freeze_second,15,4,2,9,0,0.03186269833972433,0.01582158695816592,0.0503849291521346,0.0014049558313758703,-0.005939147326857725,0.009039325955483481,0.3595
current_raw,dataset,school_of_reward_hacks,freeze_first,freeze_last,15,10,0,5,0,0.20122344470178932,0.18367230723301659,0.21934394127264764,-0.012522420710671445,-0.01888570423047029,-0.005789551846230156,0.9999
current_raw,dataset,school_of_reward_hacks,freeze_first,kld,15,0,3,12,0,0.04460421214151977,0.02390529901173583,0.06645029880734453,0.08849341237807122,0.07981283243806346,0.09675820881217558,0.0
current_raw,dataset,school_of_reward_hacks,freeze_first,ip,15,0,1,14,0,0.07684960252336492,0.057466951067266014,0.09709672992675013,0.06189169954791855,0.050752290295459454,0.07129207985010977,0.0
current_raw,dataset,school_of_reward_hacks,freeze_second,freeze_last,15,7,0,8,0,0.169360746362065,0.15098859427097522,0.18851180659042538,-0.013927376542047315,-0.019855035985451817,-0.007512536159000142,1.0
current_raw,dataset,school_of_reward_hacks,freeze_second,kld,15,0,5,10,0,0.012741513801795445,-0.012108620901106064,0.03792155892701083,0.08708845654669535,0.08011839477597163,0.09374066277731068,0.0
current_raw,dataset,school_of_reward_hacks,freeze_second,ip,15,1,4,10,0,0.0449869041836406,0.023664866813164993,0.06685787265609382,0.06048674371654268,0.050716545982834094,0.06869732127532904,0.0
current_raw,dataset,school_of_reward_hacks,freeze_last,kld,15,0,15,0,0,-0.15661923256026955,-0.18353084873038153,-0.12699468849659415,0.10101583308874267,0.09089916729252473,0.10986397358497724,0.0
current_raw,dataset,school_of_reward_hacks,freeze_last,ip,15,0,13,2,0,-0.1243738421784244,-0.15000450773589072,-0.09516314219019333,0.07441412025859,0.0604694643152697,0.08578114050120106,0.0
current_raw,dataset,school_of_reward_hacks,kld,ip,15,11,0,4,0,0.03224539038184515,0.022092606826563915,0.04368829010445972,-0.02660171283015267,-0.03206511367397145,-0.020962807177021998,1.0
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,freeze_first,15,8,2,4,1,0.031670153417015345,0.026111111111111106,0.03639586238958624,-0.02475296393479884,-0.03891902620632963,-0.008783453272956975,0.9988
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,freeze_second,15,2,7,6,0,-0.002498837749883777,-0.011380782194328214,0.007514760576475963,0.018520280288653684,0.006044583780991228,0.031357364437897085,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,freeze_last,15,0,0,15,0,-0.2961547876569903,-0.3058681153772527,-0.2865222070348362,-0.10589503997714445,-0.12245498785274041,-0.08903601828822003,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,kld,15,1,6,8,0,0.017678457447847535,0.01469624729324354,0.021008362387508202,0.035907536046823535,0.023101334498172876,0.04787083909574985,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,ip,15,3,5,7,0,0.02582054858205486,0.02164923291492329,0.030001162250116224,0.027473005032665615,0.014913693065711456,0.03917969603320733,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,freeze_second,15,3,9,3,0,-0.03416899116689912,-0.03944676894467689,-0.027224546722454668,0.04327324422345252,0.03321889897317967,0.053294519637737,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,freeze_last,15,0,0,15,0,-0.32782494107400567,-0.3382478911020475,-0.3178306709015544,-0.0811420760423456,-0.09146691033059234,-0.0699977400162663,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,kld,15,0,13,2,0,-0.013991695969167809,-0.018816725271668954,-0.009169000933706813,0.06066049998162237,0.046577535557316856,0.07512167755539968,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,ip,15,1,12,2,0,-0.005849604834960484,-0.01142381450488145,-0.0005695025569502563,0.05222596896746445,0.04165272083667076,0.06309354183872937,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,freeze_last,15,0,0,15,0,-0.29365594990710653,-0.309105947872767,-0.28032334710008144,-0.12441532026579813,-0.1352276978790566,-0.11312139786657643,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,kld,15,1,6,8,0,0.020177295197731312,0.011925385147827492,0.027957397475741535,0.01738725575816985,0.008839561506131606,0.02701651405728457,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,ip,15,3,7,4,1,0.028319386331938638,0.0199581589958159,0.03666666666666666,0.00895272474401193,0.0025507605413155722,0.015303091878313389,0.0034
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_last,kld,15,0,0,15,0,0.31383324510483784,0.3027534404934795,0.32512153740704663,0.14180257602396798,0.12753383732719348,0.15653089665764736,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_last,ip,15,0,0,15,0,0.3219753362390452,0.30990617431496725,0.3343088386679637,0.13336804500981006,0.12246193704607052,0.14452843683501704,0.0
current_raw,dataset,good_vs_bad_mixed_multifact,kld,ip,15,9,2,3,1,0.008142091134207325,0.005359664355964654,0.0107422082330365,-0.00843453101415792,-0.01410158066015807,-0.002489529252862547,0.9977
current_raw,dataset,target_only_no_hallucination,baseline,freeze_first,15,5,0,10,0,0.15785317309375885,0.1469549046954905,0.16930725855385897,0.05718310296196466,0.04272591450768288,0.07243537817614396,0.0
