variant,method,relative_sft_capability_floor,absolute_capability_floor,ug_improvement_required,n_cells,feasible_cells,feasible_and_improved_cells,mean_ug_reduction_on_feasible_cells
current_filtered,freeze_last,0.95,0.0,0.01,21,13,8,0.05898516131523717
current_filtered,kld,0.95,0.0,0.01,21,11,10,0.19594690090555159
current_filtered,ip,0.95,0.0,0.01,21,6,4,0.028347947467116153
current_filtered,freeze_first,0.95,0.1,0.01,21,10,2,-0.0574488745223372
current_filtered,freeze_second,0.95,0.1,0.01,21,13,7,0.016438423352413696
current_filtered,freeze_last,0.95,0.1,0.01,21,13,8,0.05898516131523717
current_filtered,kld,0.95,0.1,0.01,21,9,9,0.23713600880515923
current_filtered,ip,0.95,0.1,0.01,21,3,3,0.05244734131234319
current_filtered,freeze_first,1.0,0.0,0.01,21,9,2,-0.019276371510753766
current_filtered,freeze_second,1.0,0.0,0.01,21,9,3,-0.018857522515119504
current_filtered,freeze_last,1.0,0.0,0.01,21,11,6,0.018117153312111976
current_filtered,kld,1.0,0.0,0.01,21,5,5,0.08248313984394402
current_filtered,ip,1.0,0.0,0.01,21,6,4,0.028347947467116153
current_filtered,freeze_first,1.0,0.1,0.01,21,8,2,-0.020890551531081464
current_filtered,freeze_second,1.0,0.1,0.01,21,7,3,0.004655874842730802
current_filtered,freeze_last,1.0,0.1,0.01,21,11,6,0.018117153312111976
current_filtered,kld,1.0,0.1,0.01,21,4,4,0.09594181564676849
current_filtered,ip,1.0,0.1,0.01,21,3,3,0.05244734131234319
paper_raw,freeze_first,0.5,0.0,0.01,21,17,4,-0.05779296147974468
paper_raw,freeze_second,0.5,0.0,0.01,21,20,8,-0.00849612043049543
paper_raw,freeze_last,0.5,0.0,0.01,21,21,16,0.08252992080670651
paper_raw,kld,0.5,0.0,0.01,21,19,17,0.21922396178035278
paper_raw,ip,0.5,0.0,0.01,21,13,10,0.02591112359862359
paper_raw,freeze_first,0.5,0.1,0.01,21,15,4,-0.0644709118992662
paper_raw,freeze_second,0.5,0.1,0.01,21,17,8,0.004716574003338718
paper_raw,freeze_last,0.5,0.1,0.01,21,21,16,0.08252992080670651
paper_raw,kld,0.5,0.1,0.01,21,16,15,0.2534520078549096
paper_raw,ip,0.5,0.1,0.01,21,10,7,0.02846571067821067
paper_raw,freeze_first,0.75,0.0,0.01,21,13,2,-0.06800489834530715
paper_raw,freeze_second,0.75,0.0,0.01,21,17,7,-0.013775119896443422
paper_raw,freeze_last,0.75,0.0,0.01,21,20,15,0.08297494008967224
paper_raw,kld,0.75,0.0,0.01,21,17,15,0.22195946055189752
paper_raw,ip,0.75,0.0,0.01,21,10,7,0.011338164381914378
paper_raw,freeze_first,0.75,0.1,0.01,21,12,2,-0.07283863987408275
paper_raw,freeze_second,0.75,0.1,0.01,21,15,7,-0.0028101050184383375
paper_raw,freeze_last,0.75,0.1,0.01,21,20,15,0.08297494008967224
paper_raw,kld,0.75,0.1,0.01,21,15,14,0.2490833762798048
paper_raw,ip,0.75,0.1,0.01,21,8,5,0.00902658279220779
paper_raw,freeze_first,0.9,0.0,0.01,21,12,2,-0.06763493617037904
paper_raw,freeze_second,0.9,0.0,0.01,21,17,7,-0.013775119896443422
paper_raw,freeze_last,0.9,0.0,0.01,21,15,10,0.07001046433725006
paper_raw,kld,0.9,0.0,0.01,21,11,11,0.2422659745257148
paper_raw,ip,0.9,0.0,0.01,21,7,5,0.038787183055040184
paper_raw,freeze_first,0.9,0.1,0.01,21,11,2,-0.07287447582223168
paper_raw,freeze_second,0.9,0.1,0.01,21,15,7,-0.0028101050184383375
paper_raw,freeze_last,0.9,0.1,0.01,21,15,10,0.07001046433725006
paper_raw,kld,0.9,0.1,0.01,21,10,10,0.2636569238301381
paper_raw,ip,0.9,0.1,0.01,21,6,4,0.041455417267917245
paper_raw,freeze_first,0.95,0.0,0.01,21,10,2,-0.015161923404454847
paper_raw,freeze_second,0.95,0.0,0.01,21,12,5,0.016778263788680466
paper_raw,freeze_last,0.95,0.0,0.01,21,13,9,0.046158071095571115
paper_raw,kld,0.95,0.0,0.01,21,10,10,0.25867034975606407
paper_raw,ip,0.95,0.0,0.01,21,3,3,0.07818310657596374
paper_raw,freeze_first,0.95,0.1,0.01,21,9,2,-0.015735470449394277
paper_raw,freeze_second,0.95,0.1,0.01,21,11,5,0.01843824063142246
paper_raw,freeze_last,0.95,0.1,0.01,21,13,9,0.046158071095571115
paper_raw,kld,0.95,0.1,0.01,21,9,9,0.284260779564351
paper_raw,ip,0.95,0.1,0.01,21,2,2,0.10588577097505669
paper_raw,freeze_first,1.0,0.0,0.01,21,9,2,-0.01736472501317264
paper_raw,freeze_second,1.0,0.0,0.01,21,9,3,0.0035628803148644553
paper_raw,freeze_last,1.0,0.0,0.01,21,11,7,0.0034804292929293064
paper_raw,kld,1.0,0.0,0.01,21,4,4,0.1076536044973545
paper_raw,ip,1.0,0.0,0.01,21,2,2,0.04314058956916102
paper_raw,freeze_first,1.0,0.1,0.01,21,8,2,-0.018285315639819225
paper_raw,freeze_second,1.0,0.1,0.01,21,8,3,0.004193425539407696
paper_raw,freeze_last,1.0,0.1,0.01,21,11,7,0.0034804292929293064
paper_raw,kld,1.0,0.1,0.01,21,3,3,0.13408597883597884
paper_raw,ip,1.0,0.1,0.01,21,1,1,0.06350340136054422
paper_filtered,freeze_first,0.5,0.0,0.01,21,16,3,-0.06331605572137217
paper_filtered,freeze_second,0.5,0.0,0.01,21,20,8,-0.007742939743237363
paper_filtered,freeze_last,0.5,0.0,0.01,21,21,13,0.0830805547647951
paper_filtered,kld,0.5,0.0,0.01,21,19,16,0.21366479337171693
paper_filtered,ip,0.5,0.0,0.01,21,13,9,0.03148683371302419
paper_filtered,freeze_first,0.5,0.1,0.01,21,15,3,-0.06658033597934018
paper_filtered,freeze_second,0.5,0.1,0.01,21,17,8,0.0059019414162971556
paper_filtered,freeze_last,0.5,0.1,0.01,21,21,13,0.0830805547647951
paper_filtered,kld,0.5,0.1,0.01,21,16,14,0.2469850439807657
paper_filtered,ip,0.5,0.1,0.01,21,10,7,0.036358809752857366
paper_filtered,freeze_first,0.75,0.0,0.01,21,14,3,-0.056321523999028504
paper_filtered,freeze_second,0.75,0.0,0.01,21,18,7,-0.015301238162679963
paper_filtered,freeze_last,0.75,0.0,0.01,21,19,12,0.0875388939821897
paper_filtered,kld,0.75,0.0,0.01,21,17,14,0.2160187007462918
paper_filtered,ip,0.75,0.0,0.01,21,11,7,0.019523080214638645
paper_filtered,freeze_first,0.75,0.1,0.01,21,13,3,-0.0595499603180421
paper_filtered,freeze_second,0.75,0.1,0.01,21,15,7,-0.0013486991990960299
paper_filtered,freeze_last,0.75,0.1,0.01,21,19,12,0.0875388939821897
paper_filtered,kld,0.75,0.1,0.01,21,15,13,0.24247551516678498
paper_filtered,ip,0.75,0.1,0.01,21,8,5,0.021126642702535545
paper_filtered,freeze_first,0.9,0.0,0.01,21,13,2,-0.07122171448979626
paper_filtered,freeze_second,0.9,0.0,0.01,21,17,7,-0.012691254195280808
paper_filtered,freeze_last,0.9,0.0,0.01,21,15,9,0.09048141200363422
paper_filtered,kld,0.9,0.0,0.01,21,12,11,0.21631175821900026
paper_filtered,ip,0.9,0.0,0.01,21,7,5,0.0346720938736245
paper_filtered,freeze_first,0.9,0.1,0.01,21,12,2,-0.07596086970962497
paper_filtered,freeze_second,0.9,0.1,0.01,21,15,7,-0.0013486991990960299
paper_filtered,freeze_last,0.9,0.1,0.01,21,15,9,0.09048141200363422
paper_filtered,kld,0.9,0.1,0.01,21,10,10,0.2560555913442818
paper_filtered,ip,0.9,0.1,0.01,21,6,4,0.03665447988959895
paper_filtered,freeze_first,0.95,0.0,0.01,21,11,2,-0.052711841831696055
paper_filtered,freeze_second,0.95,0.0,0.01,21,15,7,0.00546631402841719
paper_filtered,freeze_last,0.95,0.0,0.01,21,13,7,0.047614628537247565
paper_filtered,kld,0.95,0.0,0.01,21,11,10,0.22876642663493307
paper_filtered,ip,0.95,0.0,0.01,21,3,3,0.06676500549714837
