variant,level,group,method,n_cells,n_runs,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_seeds,n_reference_evaluations
current_raw,dataset,risky_financial_advice,freeze_first,3,15,False,0.9589288888888889,0.956061,0.9617855833333333,0.6055861022656489,0.5774845992064146,0.6283960194467153,False,0.0879,training_seed_bootstrap,,
current_raw,dataset,risky_financial_advice,freeze_second,3,15,True,0.9614466666666667,0.9579366666666665,0.9644367500000001,0.5184326092842401,0.4972116933563837,0.5364613791355239,True,1.0,training_seed_bootstrap,,
current_raw,dataset,risky_financial_advice,freeze_last,3,15,False,0.9218833333333333,0.9155898333333332,0.9279866666666665,0.23327249707370398,0.22271761419106367,0.24254844003558024,False,0.2752,training_seed_bootstrap,,
current_raw,dataset,risky_financial_advice,kld,3,15,True,0.9259013804713806,0.9187490749158248,0.9339586759259257,0.0666463525349439,0.06273938061810701,0.07029543327692842,True,1.0,training_seed_bootstrap,,
current_raw,dataset,risky_financial_advice,ip,3,15,False,0.4419434511043188,0.43428727356283137,0.44923618048576225,0.13890103622587596,0.13353872421402743,0.1476918515647049,False,0.0,training_seed_bootstrap,,
current_raw,dataset,school_of_reward_hacks,baseline,3,15,False,0.691279079750195,0.6802740030348414,0.7016501022734052,0.17569349312148708,0.1662655527402525,0.18395154732628874,False,0.0,training_seed_bootstrap,,
current_raw,dataset,school_of_reward_hacks,freeze_first,3,15,True,0.7591514145208912,0.7480954995503117,0.7690614198961316,0.1557551301274633,0.14840020674618803,0.1625913926892194,True,1.0,training_seed_bootstrap,,
current_raw,dataset,school_of_reward_hacks,freeze_second,3,15,True,0.7272887161811669,0.7116685202156279,0.7405394071789718,0.15435017429608744,0.1465843688614192,0.16119802998643254,True,0.5474,training_seed_bootstrap,,
current_raw,dataset,school_of_reward_hacks,freeze_last,3,15,False,0.5579279698191019,0.5414899344244527,0.5741824057953199,0.16827755083813475,0.15851928852514088,0.17692916480344156,False,0.0,training_seed_bootstrap,,
current_raw,dataset,school_of_reward_hacks,kld,3,15,True,0.7145472023793714,0.6972922025520523,0.72911048989899,0.06726171774939209,0.06305749319380542,0.0710867055411123,True,1.0,training_seed_bootstrap,,
current_raw,dataset,school_of_reward_hacks,ip,3,15,False,0.6823018119975263,0.6660864179035252,0.6948761530612245,0.09386343057954476,0.08905221013771737,0.09966876797743746,False,0.0,training_seed_bootstrap,,
current_raw,dataset,good_vs_bad_mixed_multifact,baseline,3,15,False,0.04111459786145979,0.03777777777777778,0.045000000000000005,0.211989508984316,0.19813689125984407,0.2247623338554743,False,0.2956,training_seed_bootstrap,,
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_first,3,15,False,0.009444444444444445,0.00611111111111111,0.012777777777777779,0.23674247291911485,0.22561394454856604,0.248027233791315,False,0.0,training_seed_bootstrap,,
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_second,3,15,True,0.043613435611343565,0.03666666666666667,0.0500046490004649,0.19346922869566233,0.18724868001593944,0.19988513086545637,True,1.0,training_seed_bootstrap,,
current_raw,dataset,good_vs_bad_mixed_multifact,freeze_last,3,15,True,0.3372693855184501,0.3259114283382615,0.3489139750488228,0.31788454896146046,0.30604638151581454,0.32972267287727575,True,1.0,training_seed_bootstrap,,
current_raw,dataset,good_vs_bad_mixed_multifact,kld,3,15,True,0.023436140413612253,0.02111344537815126,0.025859308262312017,0.17608197293749248,0.1703428637842864,0.18194444444444446,True,1.0,training_seed_bootstrap,,
current_raw,dataset,good_vs_bad_mixed_multifact,ip,3,15,False,0.015294049279404929,0.012777777777777777,0.018099721059972106,0.1845165039516504,0.17927475592747558,0.18948047419804745,False,0.0023,training_seed_bootstrap,,
current_raw,dataset,target_only_no_hallucination,baseline,3,15,True,0.21146777095521863,0.20333333333333337,0.21945839144583912,0.3356104697749524,0.3251344366951884,0.34597572157262946,True,0.9103,training_seed_bootstrap,,
current_raw,dataset,target_only_no_hallucination,freeze_first,3,15,False,0.053614597861459785,0.04444793119479312,0.06277777777777778,0.27842736681298774,0.26861507327378675,0.28833353011327684,False,0.0,training_seed_bootstrap,,
current_raw,dataset,target_only_no_hallucination,freeze_second,3,15,False,0.19733333333333336,0.18944444444444442,0.20694444444444446,0.4695211015525149,0.4616090080309609,0.4777185744408115,False,0.0,training_seed_bootstrap,,
current_raw,dataset,target_only_no_hallucination,freeze_last,3,15,True,0.7466393586723393,0.731729575651739,0.7601227651102282,0.34668668819932597,0.3385659836995966,0.35417035384415674,True,1.0,training_seed_bootstrap,,
current_raw,dataset,target_only_no_hallucination,kld,3,15,True,0.12732450023245004,0.1251022780102278,0.1297222222222222,0.18146435423934767,0.1763888888888889,0.18663455836832007,True,1.0,training_seed_bootstrap,,
current_raw,dataset,target_only_no_hallucination,ip,3,15,False,0.1011111111111111,0.07777083333333334,0.1152777777777778,0.2576717602463871,0.24611111111111109,0.26819444444444446,False,0.0,training_seed_bootstrap,,
current_raw,dataset,german_city_names,baseline,3,15,False,0.8995014274616313,0.8808288483988588,0.9177455322698544,0.12797390572390574,0.11341527777777778,0.14257929292929294,False,0.0004,training_seed_bootstrap,,
current_raw,dataset,german_city_names,freeze_first,3,15,False,0.7772058802855403,0.7612458125071735,0.7937527832198221,0.1891629651328899,0.16081280256919356,0.2195514326942898,False,0.0,training_seed_bootstrap,,
current_raw,dataset,german_city_names,freeze_second,3,15,False,0.8571311434759799,0.8340874879984457,0.8811340955404094,0.11424242424242426,0.0922892255892256,0.13748855218855216,False,0.0,training_seed_bootstrap,,
current_raw,dataset,german_city_names,freeze_last,3,15,True,0.9276239829522166,0.9106905922664624,0.943311190175274,0.008067614924757783,0.00536026936026936,0.011441077441077441,True,1.0,training_seed_bootstrap,,
current_raw,dataset,german_city_names,kld,3,15,True,0.8707235933215314,0.8573323995973481,0.8838737165469123,0.0,0.0,0.0,True,1.0,training_seed_bootstrap,,
current_raw,dataset,german_city_names,ip,3,15,False,0.5491836734693877,0.5142132653061224,0.5797431972789114,0.015346801346801345,0.008666666666666666,0.02334006734006734,False,0.0,training_seed_bootstrap,,
current_raw,dataset,old_bird_names,baseline,3,15,True,0.8025399515347539,0.7672039349537301,0.8323562703563158,0.09955966123823266,0.0827003367003367,0.11946949082663368,True,0.51,training_seed_bootstrap,,
current_raw,dataset,old_bird_names,freeze_first,3,15,False,0.5416536183780578,0.5032023507273621,0.5803764518462816,0.313959595959596,0.2586868686868687,0.36468686868686867,False,0.0,training_seed_bootstrap,,
current_raw,dataset,old_bird_names,freeze_second,3,15,False,0.6404864892191579,0.5775133316393286,0.6990501054797821,0.12320016491445064,0.098216625438054,0.15156615474472618,False,0.0,training_seed_bootstrap,,
current_raw,dataset,old_bird_names,freeze_last,3,15,True,0.8017314814895773,0.7712086002746615,0.8324119684875665,0.007519484956272801,0.00134006734006734,0.01650316512931814,True,1.0,training_seed_bootstrap,,
current_raw,dataset,old_bird_names,kld,3,15,False,0.6977897184907494,0.6606666666666667,0.7285319865319865,0.012687285223367699,0.005374570446735395,0.020687285223367696,False,0.221,training_seed_bootstrap,,
current_raw,dataset,old_bird_names,ip,3,15,False,0.7068979591836735,0.6666938775510204,0.7415646258503402,0.3566734006734007,0.290013468013468,0.4113402356902357,False,0.0,training_seed_bootstrap,,
current_raw,model,llama31_8b,baseline,7,35,False,0.6944824105924244,0.685615998598419,0.702421974799969,0.34283339326377815,0.32946774336830587,0.3555857527486192,False,0.0,training_seed_bootstrap,,
current_raw,model,llama31_8b,freeze_first,7,35,False,0.5662589834452999,0.5543119269327828,0.5794806403554212,0.4297296989727672,0.4047859998755679,0.4526368227649635,False,0.0,training_seed_bootstrap,,
current_raw,model,llama31_8b,freeze_second,7,35,False,0.6564455451456744,0.6446726190828247,0.6682815682092166,0.31001317120849514,0.2978790437287941,0.32181882027305786,False,0.0,training_seed_bootstrap,,
current_raw,model,llama31_8b,freeze_last,7,35,True,0.7479085250478749,0.7358501986390564,0.7606191431821565,0.1989320181948357,0.19182577470359927,0.2062053347391887,True,1.0,training_seed_bootstrap,,
current_raw,model,llama31_8b,kld,7,35,True,0.6223657175070932,0.6159487830620168,0.629083775033627,0.09440138627386094,0.08988306327624898,0.09920267680417999,True,1.0,training_seed_bootstrap,,
current_raw,model,llama31_8b,ip,7,35,False,0.39132336459288297,0.3776516977137584,0.40384264118695895,0.20685337846878687,0.18618728325042164,0.22308513712785386,False,0.0,training_seed_bootstrap,,
current_raw,model,qwen3_8b,baseline,7,35,False,0.5722057602467572,0.5631903417951234,0.5810418005682292,0.28014254465787836,0.2708628485084665,0.28881870621493066,False,0.0,training_seed_bootstrap,,
current_raw,model,qwen3_8b,freeze_first,7,35,False,0.5645034467479467,0.5533674027920916,0.5741934546751195,0.3169181671682461,0.30174502117149576,0.33290480939634337,False,0.0,training_seed_bootstrap,,
current_raw,model,qwen3_8b,freeze_second,7,35,False,0.5645766521444049,0.5392014567723201,0.5884648388701086,0.3030715046487943,0.2901035234503391,0.3167957746274293,False,0.0,training_seed_bootstrap,,
current_raw,model,qwen3_8b,freeze_last,7,35,True,0.6552307748508837,0.6443526684563823,0.6657773737557797,0.195110019380326,0.1886371775415939,0.2010366952350953,True,1.0,training_seed_bootstrap,,
current_raw,model,qwen3_8b,kld,7,35,True,0.5377893881087445,0.5242409611313599,0.5488274790448009,0.08639385763684893,0.08403020231345619,0.08864611997098044,True,1.0,training_seed_bootstrap,,
current_raw,model,qwen3_8b,ip,7,35,False,0.3528482136382407,0.3340815157683466,0.3686064456799868,0.16586338872214343,0.14552930023315114,0.1774400657385843,False,0.0,training_seed_bootstrap,,
current_raw,model,olmo3_7b,baseline,7,35,False,0.5889530409736435,0.5751217555495076,0.600523403084109,0.20940553892168098,0.20049767270832577,0.21766737444634876,False,0.4831,training_seed_bootstrap,,
current_raw,model,olmo3_7b,freeze_first,7,35,False,0.5121867443181903,0.5018484894028599,0.5222233084195489,0.2071334454928079,0.1977101411588533,0.2147658982185547,False,0.0,training_seed_bootstrap,,
current_raw,model,olmo3_7b,freeze_second,7,35,False,0.5590259013022579,0.5477741615676855,0.569479701787968,0.2421954706182629,0.23409922258843027,0.24986983474816932,False,0.0,training_seed_bootstrap,,
current_raw,model,olmo3_7b,freeze_last,7,35,True,0.6987976397999512,0.6888717770279168,0.707996102805307,0.20924514102644604,0.20401212759312448,0.21378503576594,True,1.0,training_seed_bootstrap,,
current_raw,model,olmo3_7b,kld,7,35,True,0.5495747334448184,0.5375747523440407,0.5604697124432716,0.07997563795221803,0.07671774320380927,0.08338350351142074,True,1.0,training_seed_bootstrap,,
current_raw,model,olmo3_7b,ip,7,35,False,0.4867245399983396,0.4741234657678577,0.4978176622165736,0.1465630613922982,0.1363857160979529,0.15606958610162192,False,0.0,training_seed_bootstrap,,
current_filtered,overall,All datasets,baseline,21,105,False,0.6038265296556141,0.5976055508223291,0.6095054121363189,0.26263352354608377,0.25615512313955885,0.2690165047997469,False,0.0,training_seed_bootstrap,,
current_filtered,overall,All datasets,freeze_first,21,105,False,0.5359577367960513,0.5297205595400081,0.5422861162664264,0.3006392188375543,0.2892353197333996,0.31166010766154284,False,0.0,training_seed_bootstrap,,
current_filtered,overall,All datasets,freeze_second,21,105,False,0.5803495632141631,0.5715424162243921,0.5890022315686254,0.26235726215967703,0.2565943011530964,0.26818319804472446,False,0.0,training_seed_bootstrap,,
current_filtered,overall,All datasets,freeze_last,21,105,True,0.6759758624630626,0.6692927926023118,0.6826503349254269,0.17705990486970777,0.17373994170606552,0.180157899002059,True,1.0,training_seed_bootstrap,,
current_filtered,overall,All datasets,kld,21,105,True,0.5681201821030585,0.5607564968531281,0.5746557533495059,0.08563069286960101,0.08370932757883595,0.08758442697810613,True,1.0,training_seed_bootstrap,,
current_filtered,overall,All datasets,ip,21,105,False,0.408406883405985,0.39956194736441786,0.4167342432659734,0.16078629942334602,0.15118280268700954,0.16892271837681794,False,0.0,training_seed_bootstrap,,
current_filtered,category,Alignment,baseline,9,45,False,0.7615635627800658,0.7568385107456225,0.7662306867117457,0.36822849744802677,0.3578806202271366,0.3774760740425972,False,0.0356,training_seed_bootstrap,,
