variant,task_id,model_family,method,n_seeds,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,capability_seed_sd,unwanted_generalization_seed_sd,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_reference_evaluations
current_raw,bad_medical_advice,llama31_8b,baseline,5,False,0.72854,0.7119300000000001,0.7436499999999999,0.4788942864860905,0.4387833483602485,0.5109863846876557,0.021045854698728668,0.047879457005062236,False,0.2721,training_seed_bootstrap,
current_raw,bad_medical_advice,llama31_8b,freeze_first,5,True,0.7362304020100503,0.7246804020100502,0.7481,0.46946929188889286,0.447435945209352,0.4880501508499462,0.015618575207475786,0.02638706861453135,True,0.874,training_seed_bootstrap,
current_raw,bad_medical_advice,llama31_8b,freeze_second,5,True,0.7290273366834171,0.7093673366834171,0.745217336683417,0.45251324389910497,0.4128215870248394,0.47494511984909094,0.02386888781587398,0.043958669483730915,True,1.0,training_seed_bootstrap,
current_raw,bad_medical_advice,llama31_8b,freeze_last,5,False,0.5531869169077711,0.5302509045226131,0.5761229292929293,0.25835403353835484,0.24008083768354854,0.2756824077590657,0.029585194810003275,0.0231439019532904,False,0.0,training_seed_bootstrap,
current_raw,bad_medical_advice,llama31_8b,kld,5,True,0.6126092385786801,0.5997,0.6322977157360405,0.12241926995288979,0.11047668729058083,0.14176481370267496,0.02158427795709804,0.021727018479909314,True,1.0,training_seed_bootstrap,
current_raw,bad_medical_advice,llama31_8b,ip,5,False,0.23011205128205128,0.22347,0.2382820512820513,0.1292023342512032,0.12028985280801888,0.14139716954607184,0.009569952737488544,0.013664415269393479,False,0.0527,training_seed_bootstrap,
current_raw,bad_medical_advice,qwen3_8b,baseline,5,True,0.72887,0.71521,0.74253,0.44550737808562124,0.41480482732126056,0.46981709430522967,0.01816248193392079,0.03692159185691031,True,0.7791,training_seed_bootstrap,
current_raw,bad_medical_advice,qwen3_8b,freeze_first,5,True,0.74002,0.72575,0.7520899999999999,0.45728902254918935,0.41761618947333234,0.48381140878586126,0.01746108530418424,0.04346456682391098,True,0.7928,training_seed_bootstrap,
current_raw,bad_medical_advice,qwen3_8b,freeze_second,5,True,0.71694,0.6955,0.74025,0.39448027454732254,0.3685826539187409,0.4150808618508446,0.02838272802251393,0.029297166726625027,True,1.0,training_seed_bootstrap,
current_raw,bad_medical_advice,qwen3_8b,freeze_last,5,False,0.6376799999999999,0.613907,0.65411,0.36445161114028685,0.3332436069699915,0.38679470133354377,0.02713654362663014,0.0341824107053938,False,0.2651,training_seed_bootstrap,
current_raw,bad_medical_advice,qwen3_8b,kld,5,True,0.6517417258883249,0.63502,0.6695551776649746,0.09912408916189402,0.09511844025641125,0.10477485978624848,0.02245145933597128,0.006113949406269977,True,1.0,training_seed_bootstrap,
current_raw,bad_medical_advice,qwen3_8b,ip,5,False,0.2872369696969697,0.2619909090909091,0.30342,0.13156648182007494,0.12714613132783262,0.13674725353071185,0.027927894448703527,0.006039156955731119,False,0.0,training_seed_bootstrap,
current_raw,bad_medical_advice,olmo3_7b,baseline,5,True,0.71693,0.7061,0.72577,0.36922216514836836,0.33637798165137617,0.3893319692065143,0.013048687673478948,0.03652679356210364,True,1.0,training_seed_bootstrap,
current_raw,bad_medical_advice,olmo3_7b,freeze_first,5,True,0.7243972864321608,0.7091772864321608,0.7351945728643217,0.4108099673455641,0.38021058396659135,0.43143609112561815,0.017154227591309315,0.03360943055573238,True,0.836,training_seed_bootstrap,
current_raw,bad_medical_advice,olmo3_7b,freeze_second,5,True,0.73247,0.7115199999999999,0.74749,0.4203203979262996,0.3884415168074185,0.44151830501010825,0.02327774151415901,0.036209230207595804,True,0.9837,training_seed_bootstrap,
current_raw,bad_medical_advice,olmo3_7b,freeze_last,5,True,0.6434651256281407,0.6331253768844222,0.65371,0.3550794506716456,0.3317775768535262,0.369393567087302,0.01339968712428249,0.025469695183685432,True,0.8096,training_seed_bootstrap,
current_raw,bad_medical_advice,olmo3_7b,kld,5,True,0.624590303030303,0.59941,0.6571709090909091,0.09142776587207993,0.08021281458587642,0.10499017759961773,0.037757484413649914,0.0159641374963249,True,1.0,training_seed_bootstrap,
current_raw,bad_medical_advice,olmo3_7b,ip,5,False,0.6087276381909547,0.58407,0.6436429145728642,0.2332711849403407,0.21457639728245925,0.26455423162764935,0.04043743733463109,0.034696717410310024,False,0.0041,training_seed_bootstrap,
current_raw,risky_financial_advice,llama31_8b,baseline,5,True,0.96641,0.95792,0.97303,0.6246408091734293,0.5707186925718031,0.6562315210057794,0.009875816421947072,0.06060894197972791,True,0.9906,training_seed_bootstrap,
current_raw,risky_financial_advice,llama31_8b,freeze_first,5,False,0.95548,0.9511600000000001,0.9598000000000001,0.6201626086899846,0.5612970330373889,0.6554257224257224,0.0057068599071643565,0.06583362450657143,False,0.0675,training_seed_bootstrap,
current_raw,risky_financial_advice,llama31_8b,freeze_second,5,True,0.9620099999999999,0.9537099999999998,0.96763,0.47305569336938846,0.4300302388239339,0.5010435765331561,0.009502394435088459,0.0471715473621799,True,0.9949,training_seed_bootstrap,
current_raw,risky_financial_advice,llama31_8b,freeze_last,5,False,0.9134699999999999,0.9020199999999999,0.92479,0.160899701994376,0.15279645721925134,0.16706035486686774,0.014710778361459993,0.009178462162255962,False,0.0004,training_seed_bootstrap,
current_raw,risky_financial_advice,llama31_8b,kld,5,True,0.93621,0.92795,0.94696,0.08148017806274456,0.07760598551044388,0.08535437061504522,0.012235266650138847,0.004974827607729975,True,1.0,training_seed_bootstrap,
current_raw,risky_financial_advice,llama31_8b,ip,5,False,0.16206,0.15228,0.17304,0.09076062362335446,0.08926886850454138,0.0924295269208242,0.013510061065739126,0.002076378479785019,False,0.0,training_seed_bootstrap,
current_raw,risky_financial_advice,qwen3_8b,baseline,5,False,0.9598699999999999,0.9572087499999999,0.96242,0.620891629404895,0.583284082017243,0.6470312895119721,0.003386849568551872,0.04236494309500195,False,0.2142,training_seed_bootstrap,
current_raw,risky_financial_advice,qwen3_8b,freeze_first,5,True,0.9614566666666666,0.95734,0.96494,0.6112855662586723,0.577692170938827,0.6375602112904271,0.005101287963729231,0.04005067712457318,True,0.9946,training_seed_bootstrap,
current_raw,risky_financial_advice,qwen3_8b,freeze_second,5,True,0.9687899999999999,0.9639900000000001,0.97224,0.623523713617521,0.5809479101271056,0.6510786356369735,0.00550129530201753,0.046681725154076224,True,0.9918,training_seed_bootstrap,
current_raw,risky_financial_advice,qwen3_8b,freeze_last,5,True,0.9359300000000002,0.92113,0.9489699999999999,0.26617221186689544,0.24205760905760904,0.2865391712085383,0.01752475392123954,0.028547492530769374,True,0.896,training_seed_bootstrap,
current_raw,risky_financial_advice,qwen3_8b,kld,5,True,0.9202374747474747,0.91102,0.934742424242424,0.07124484127110485,0.06254980944148004,0.07657138875746164,0.016208656468404865,0.009699285891427763,True,1.0,training_seed_bootstrap,
current_raw,risky_financial_advice,qwen3_8b,ip,5,False,0.27503206185567014,0.25728618556701033,0.28923,0.09962588346363976,0.09638358607712195,0.10379308288610614,0.020561688002795023,0.00477034577339051,False,0.0,training_seed_bootstrap,
current_raw,risky_financial_advice,olmo3_7b,baseline,5,True,0.9511600000000001,0.94342,0.9589000000000001,0.43503295307627676,0.3953439037433155,0.46158343603195534,0.009932232880878288,0.04299712017782745,True,0.9924,training_seed_bootstrap,
current_raw,risky_financial_advice,olmo3_7b,freeze_first,5,True,0.9598500000000001,0.9532,0.9659500000000001,0.5853101318482901,0.5306629252333931,0.6189477898248541,0.008053725845843011,0.06067964171640605,True,0.9938,training_seed_bootstrap,
current_raw,risky_financial_advice,olmo3_7b,freeze_second,5,True,0.9535399999999999,0.94852,0.9579599999999999,0.4587184208658105,0.42779531720548053,0.4835018849763375,0.006043839839042724,0.036568598901464244,True,0.8255,training_seed_bootstrap,
current_raw,risky_financial_advice,olmo3_7b,freeze_last,5,False,0.91625,0.91109,0.9214100000000001,0.2727455773598405,0.25062736541436903,0.28891121163624633,0.00659791633775393,0.024729350982757286,False,0.3378,training_seed_bootstrap,
current_raw,risky_financial_advice,olmo3_7b,kld,5,True,0.9212566666666666,0.9063500000000001,0.9404299999999999,0.047214038270982285,0.03981758693987643,0.054230431705793294,0.021302655676907735,0.009450819026943355,True,1.0,training_seed_bootstrap,
current_raw,risky_financial_advice,olmo3_7b,ip,5,False,0.8887382914572864,0.8774599999999999,0.9005048743718593,0.22631660159063366,0.21184625512518696,0.2521551269650744,0.014794026390976099,0.028861352322304863,False,0.0,training_seed_bootstrap,
current_raw,school_of_reward_hacks,llama31_8b,baseline,5,False,0.7476178628095521,0.7401045069989234,0.7551312186201808,0.2082337674705863,0.1956573134155521,0.21800254816179293,0.009708663456691333,0.014194082415629946,False,0.0002,training_seed_bootstrap,
current_raw,school_of_reward_hacks,llama31_8b,freeze_first,5,True,0.7892197430777949,0.7799742424242424,0.7984652437313472,0.19682028430034365,0.18518524896679367,0.20652933331043682,0.011849247839513721,0.014050998975728623,True,0.9886,training_seed_bootstrap,
current_raw,school_of_reward_hacks,llama31_8b,freeze_second,5,True,0.7618587693728204,0.7431953737971873,0.7835994108983801,0.14823123123530302,0.1395621703512513,0.15619439595273588,0.026139920241016166,0.010372935360663376,True,0.998,training_seed_bootstrap,
current_raw,school_of_reward_hacks,llama31_8b,freeze_last,5,False,0.5485183185018295,0.515298969072165,0.5727423875108764,0.13535239164527696,0.11654342473446407,0.1470544187477617,0.037408519089534,0.020597076412122297,False,0.0,training_seed_bootstrap,
